DZN,Mode,Persons
110316201,Motorbike/scooter,0
110316201,Bicycle,8
110316201,Walked only,14
110316201,Worked at home,68
110316202,Train,5
110316202,Bus,12
110316202,Ferry,0
110316202,Tram,0
110316202,Taxi,0
110316202,"Car, as driver",881
110316202,"Car, as passenger",40
110316202,Truck,5
110316202,Motorbike/scooter,0
110316202,Bicycle,3
110316202,Walked only,14
110316202,Worked at home,22
110316203,Train,19
110316203,Bus,17
110316203,Ferry,0
110316203,Tram,0
110316203,Taxi,0
110316203,"Car, as driver",1080
110316203,"Car, as passenger",39
110316203,Truck,6
110316203,Motorbike/scooter,7
110316203,Bicycle,4
110316203,Walked only,31
110316203,Worked at home,73
110316204,Train,76
110316204,Bus,189
110316204,Ferry,0
110316204,Tram,0
110316204,Taxi,5
110316204,"Car, as driver",3648
110316204,"Car, as passenger",334
110316204,Truck,16
110316204,Motorbike/scooter,18
110316204,Bicycle,12
110316204,Walked only,60
110316204,Worked at home,40
110316205,Train,3
110316205,Bus,0
110316205,Ferry,0
110316205,Tram,0
110316205,Taxi,0
110316205,"Car, as driver",110
110316205,"Car, as passenger",3
110316205,Truck,0
110316205,Motorbike/scooter,0
110316205,Bicycle,0
110316205,Walked only,8
110316205,Worked at home,61
110316206,Train,0
110316206,Bus,0
110316206,Ferry,0
110316206,Tram,0
110316206,Taxi,0
110316206,"Car, as driver",60
110316206,"Car, as passenger",3
110316206,Truck,7
110316206,Motorbike/scooter,0
110316206,Bicycle,0
110316206,Walked only,3
110316206,Worked at home,54
110320001,Train,9
110320001,Bus,11
110320001,Ferry,0
110320001,Tram,0
110320001,Taxi,0
110320001,"Car, as driver",395
110320001,"Car, as passenger",27
110320001,Truck,4
110320001,Motorbike/scooter,3
110320001,Bicycle,8
110320001,Walked only,15
110320001,Worked at home,42
110320002,Train,14
110320002,Bus,5
110320002,Ferry,0
110320002,Tram,0
110320002,Taxi,0
110320002,"Car, as driver",734
110320002,"Car, as passenger",36
110320002,Truck,0
110320002,Motorbike/scooter,0
110320002,Bicycle,3
110320002,Walked only,19
110320002,Worked at home,54
110326132,Train,4
110326132,Bus,3
110326132,Ferry,0
110326132,Tram,0
110326132,Taxi,0
110326132,"Car, as driver",174
110326132,"Car, as passenger",10
110326132,Truck,11
110326132,Motorbike/scooter,0
110326132,Bicycle,0
110326132,Walked only,0
110326132,Worked at home,91
110326133,Train,15
110326133,Bus,36
110326133,Ferry,0
110326133,Tram,0
110326133,Taxi,0
110326133,"Car, as driver",783
110326133,"Car, as passenger",83
110326133,Truck,0
110326133,Motorbike/scooter,7
110326133,Bicycle,0
110326133,Walked only,20
110326133,Worked at home,13
110326134,Train,13
110326134,Bus,25
110326134,Ferry,0
110326134,Tram,0
110326134,Taxi,0
110326134,"Car, as driver",485
110326134,"Car, as passenger",83
110326134,Truck,4
110326134,Motorbike/scooter,4
110326134,Bicycle,3
110326134,Walked only,7
110326134,Worked at home,11
110326135,Train,279
110326135,Bus,119
110326135,Ferry,0
110326135,Tram,0
110326135,Taxi,6
110326135,"Car, as driver",4357
110326135,"Car, as passenger",211
110326135,Truck,7
110326135,Motorbike/scooter,32
110326135,Bicycle,23
110326135,Walked only,123
110326135,Worked at home,76
110326136,Train,23
110326136,Bus,42
110326136,Ferry,4
110326136,Tram,0
110326136,Taxi,7
110326136,"Car, as driver",2663
110326136,"Car, as passenger",143
110326136,Truck,35
110326136,Motorbike/scooter,14
110326136,Bicycle,11
110326136,Walked only,9
110326136,Worked at home,30
110326137,Train,121
110326137,Bus,46
110326137,Ferry,3
110326137,Tram,0
110326137,Taxi,6
110326137,"Car, as driver",2928
110326137,"Car, as passenger",155
110326137,Truck,6
110326137,Motorbike/scooter,21
110326137,Bicycle,15
110326137,Walked only,91
110326137,Worked at home,9
110326138,Train,47
110326138,Bus,33
110326138,Ferry,0
110326138,Tram,0
110326138,Taxi,0
110326138,"Car, as driver",1347
