LGA_HTS_CODE,LGA_HTS,LGA_16_CODE,LGA_16,LGA_24_CODE,LGA_24,SA2_16_CODE,SA2_16,SA2_LGA_weight,CO2_weighted,CO2_total,SA2_LGA_CO2_ratio,CO2_total_car,CO2_total_car_prop
1650,Central Coast,11650,Central Coast (C) (NSW),102021044,Central Coast (NSW),102021044,Bateau Bay - Killarney Vale,0.067157507,112.8977295,1681.08875,-0.023348753,1657.380378,0.985897014
1650,Central Coast,11650,Central Coast (C) (NSW),102021045,Central Coast (NSW),102021045,Blue Haven - San Remo,0.033697752,67.22169876,1994.842231,0.158930575,1972.899326,0.98900018
1650,Central Coast,11650,Central Coast (C) (NSW),102021046,Central Coast (NSW),102021046,Budgewoi - Buff Point - Halekulani,0.02869679,56.64218431,1973.816037,0.146715124,1955.000405,0.990467383
1650,Central Coast,11650,Central Coast (C) (NSW),102021047,Central Coast (NSW),102021047,Chittaway Bay - Tumbi Umbi,0.046845489,82.42646366,1759.538974,0.022227966,1735.137912,0.986132127
1650,Central Coast,11650,Central Coast (C) (NSW),102021048,Central Coast (NSW),102021048,Gorokan - Kanwal - Charmhaven,0.067474835,119.9795936,1778.138377,0.033033541,1750.026693,0.984190385
1650,Central Coast,11650,Central Coast (C) (NSW),102021049,Central Coast (NSW),102021049,Jilliby - Yarramalong,0.010227713,19.79958756,1935.876335,0.124673541,1914.903085,0.989166018
1650,Central Coast,11650,Central Coast (C) (NSW),102021050,Central Coast (NSW),102021050,Lake Munmorah - Mannering Park,0.032739666,65.60272545,2003.768928,0.164116661,1985.418443,0.990842015
1650,Central Coast,11650,Central Coast (C) (NSW),102021051,Central Coast (NSW),102021051,Ourimbah - Fountaindale,0.014828963,25.45738081,1716.73372,-0.002640325,1679.923662,0.978558085
1650,Central Coast,11650,Central Coast (C) (NSW),102021052,Central Coast (NSW),102021052,Summerland Point - Gwandalan,0.017590324,38.42944545,2184.692303,0.269226543,2166.377878,0.991616932
1650,Central Coast,11650,Central Coast (C) (NSW),102021053,Central Coast (NSW),102021053,The Entrance,0.045591435,75.89669349,1664.713854,-0.03286197,1638.515169,0.984262349
1650,Central Coast,11650,Central Coast (C) (NSW),102021054,Central Coast (NSW),102021054,Toukley - Norah Head,0.029816591,55.24012099,1852.663874,0.076330136,1830.650614,0.98811805
1650,Central Coast,11650,Central Coast (C) (NSW),102021055,Central Coast (NSW),102021055,Tuggerah - Kangy Angy,0.016174555,26.02943085,1609.282657,-0.065065474,1570.353221,0.975809448
1650,Central Coast,11650,Central Coast (C) (NSW),102021056,Central Coast (NSW),102021056,Warnervale - Wadalba,0.046436624,87.73404942,1889.328764,0.0976311,1856.277193,0.982506183
1650,Central Coast,11650,Central Coast (C) (NSW),102021057,Central Coast (NSW),102021057,Wyong,0.026896566,45.20112696,1680.553828,-0.023659523,1638.914947,0.97522312
1720,Cessnock,11720,Cessnock (C),106011107,Cessnock,106011107,Branxton - Greta - Pokolbin,0.17550794,306.2519308,1744.946301,0.040615102,1740.712288,0.997573557
1720,Cessnock,11720,Cessnock (C),106011108,Cessnock,106011108,Cessnock,0.381301574,606.1709141,1589.741442,-0.051942772,1583.830583,0.996281874
1720,Cessnock,11720,Cessnock (C),106011109,Cessnock,106011109,Cessnock Region,0.137403786,259.2745397,1886.953389,0.125302361,1874.396016,0.99334516
2700,Dungog,12700,Dungog (A),106011110,Dungog,106011110,Dungog,1,1739.011123,1739.011123,0,1734.400966,0.997348978
1720,Cessnock,11720,Cessnock (C),106011111,Cessnock,106011111,Kurri Kurri - Abermain,0.3057867,505.1438394,1651.948366,-0.014845089,1645.53431,0.996117278
5050,Maitland,15050,Maitland (C),106021114,Maitland,106021114,Maitland,0.089015049,146.4067408,1644.741451,-0.044294882,1639.052165,0.996540924
5050,Maitland,15050,Maitland (C),106021115,Maitland,106021115,Maitland - East,0.369707104,625.5734893,1692.078628,-0.016788806,1684.556321,0.995554399
5050,Maitland,15050,Maitland (C),106021116,Maitland,106021116,Maitland - North,0.102634986,179.896226,1752.776836,0.018480924,1745.390525,0.995785938
5050,Maitland,15050,Maitland (C),106021117,Maitland,106021117,Maitland - West,0.303751551,536.8206465,1767.301746,0.026920872,1760.656666,0.996239985
5050,Maitland,15050,Maitland (C),106021118,Maitland,106021118,Thornton - Millers Forest,0.13489131,232.2745857,1721.938839,0.000561979,1714.591143,0.995732894
6400,Port Stephens,16400,Port Stephens (A),106031119,Port Stephens,106031119,Anna Bay,0.086318138,144.9223911,1678.93324,-0.036587615,1667.606109,0.993253376
